"","UTLAname","mean_week_spend","se_week_spend","median_week_spend","se_median_week_spend","sample_tkit","upshift"
"31","Cumbria",23.9307580210218,0.354550230964622,20.7029288702929,0.444251439398671,487,1
"32","Darlington",29.87923957858,1.50515273299178,23.2875896766837,1.88595637443871,48,1
"33","Derby",22.4335120464922,0.714148852207812,14.844,0.894828511816389,181,1
"34","Derbyshire",24.4902427640198,0.611217392170803,20.1907424604007,0.765855392390016,262,1
"35","Devon",18.0510219606886,0.460764690206895,12.4425817267393,0.577338156829239,183,1
"36","Doncaster",30.4102260140118,0.606367172949972,24.4225074037512,0.759778067706315,329,1
"37","Dorset",19.4366799796121,0.919142962753647,13.5020990764064,1.15168613233032,61,1
"38","Dudley",20.8666380191124,0.882255139438775,16.5248091603053,1.10546568971679,83,1
"39","Ealing",22.8908539986901,0.839791876641622,16.2610328638498,1.05225922143195,93,1
"40","East Riding of Yorkshire",26.1129427772045,1.09354317915461,23.3396226415094,1.37020960348073,49,1
"41","East Sussex",20.5940922637147,0.476829001504108,14.9594023343919,0.597466738884647,234,1
"42","Enfield",23.6364914765886,0.622464505819802,16.0169322709163,0.779948025792212,203,1
"43","Essex",26.2558699128813,0.341388500511733,20.755033557047,0.427759791141201,595,1
"44","Gateshead",20.6953600897417,1.51674896246899,19.0503080082136,1.90048644997365,15,1
"45","Gloucestershire",22.8798939009734,0.361626315717912,19.6505162827641,0.453117773594544,315,1
"46","Greenwich",24.9424883874951,0.884737794120992,18.0847953216374,1.1085764560336,133,1
"47","Hackney",18.9059741343707,0.637560332032295,13.0368493231814,0.798863096036466,178,1
"48","Halton",37.9695664121796,2.65931292709188,36.1695906432749,3.33211909764612,31,1
"49","Hammersmith and Fulham",21.4464579389862,0.850308542677232,12.4217573221757,1.06543660397457,103,1
"50","Hampshire",25.3317853826435,0.601307823856258,20.6808230303143,0.753438703291891,154,1
"51","Haringey",17.8358706511858,0.622111921303658,12.9664570230608,0.779506237393483,159,1
"52","Harrow",26.9893604542354,1.01189791137995,19.6349206349206,1.26790808295907,67,1
"53","Hartlepool",31.0072430143901,2.6300091271926,12.9936974789916,3.29540143637232,26,1
"54","Havering",34.3295022075684,1.63317691374078,27.5133451957295,2.0463706729172,39,1
"55","Herefordshire",26.0731713433406,1.28066532015047,21.9744367417678,1.60467364614854,26,1
"56","Hertfordshire",21.1226257442057,0.476957724423821,18.2451200021658,0.597628028703047,192,1
"57","Hillingdon",25.1222652452764,1.63044416045587,21.9075363864892,2.04294653305121,26,1
"58","Hounslow",24.7562519550888,1.086597398535,16.4104377301151,1.36150654036436,38,1
"59","Isle of Wight",26.724708777658,1.17004288436869,22.3083859332732,1.46606373411397,35,1
"60","Isles of Scilly",NA,0,NA,0,0,1
"61","Islington",21.8372503680745,1.03579728170471,15.0571161048689,1.297853993976,65,1
"62","Kensington and Chelsea",22.7501272264229,2.54480628667496,13.4569037656904,3.18864227720372,21,1
"63","Kent",23.4634833198349,0.383279829443872,18.9578544061303,0.480249626293172,409,1
"64","Kingston upon Hull",26.4899829591991,1.48495280130476,20.7376362112322,1.86064586003487,83,1
"65","Kingston upon Thames",16.6982848573057,3.29562822807251,11.4301848049281,4.12942216977486,9,1
"66","Kirklees",22.799625381991,0.620568018906773,20.7376362112322,0.777571727690186,159,1
"67","Knowsley",26.6321100338216,1.2580500017442,19.8626226583408,1.57633665218548,69,1
"68","Lambeth",21.8890160025374,0.753288115670905,18.7237173797426,0.943870008935643,136,1
"69","Lancashire",23.4924545529349,0.301264226011488,18.5457317682318,0.377484075192394,830,1
"70","Leeds",19.3795727438749,0.406132555044912,12.9664570230608,0.508884091471275,331,1
"71","Leicester",20.0629557538413,0.436630535659922,16.5707300003589,0.547098061181882,158,1
"72","Leicestershire",27.995422614891,0.628773153249977,20.6683375104428,0.787852761022221,169,1
"73","Lewisham",21.2041715589998,0.535608671631487,15.5012531328321,0.671117665554253,225,1
"74","Lincolnshire",21.3327030430898,0.496928122889816,16.6242470876855,0.62265093798094,252,1
"75","Liverpool",24.4910030013819,0.438790807461577,18.1733594515181,0.549804881749355,421,1
"76","Luton",29.7992667422376,1.84991143683676,22.0771080677944,2.31793903035647,58,1
"77","Manchester",14.5377169743007,0.398781833622728,9.99192245557351,0.499673637529278,405,1
"78","Medway",28.3903443498514,1.08880895182783,23.3066880846305,1.36427761664027,80,1
"79","Merton",18.8072369268056,1.2353318535794,13.2017075773746,1.54787081253499,21,1
"80","Middlesbrough",30.8344615268871,0.817353197697678,24.2311459353575,1.02414355671519,173,1
"81","Milton Keynes",24.9718851797369,0.651312791253582,19.6505162827641,0.816094927440739,173,1
"82","Newcastle upon Tyne",29.9910808175112,0.915129734638944,23.6973180076628,1.1466575575026,157,1
"83","Newham",28.0971118947482,0.286728475686338,26.2744265080714,0.359270780034982,581,1
"84","Norfolk",20.3561468176414,0.442674940202515,14.7613365155131,0.554671700073751,249,1
"85","North East Lincolnshire",24.6626306600096,0.453205284655534,19.3692357648454,0.567866221673384,476,1
"86","North Lincolnshire",25.3413457130582,0.75334768878317,23.1865042174321,0.943944654045312,135,1
"87","North Somerset",16.3524988878943,1.57828202824344,17.7793089970018,1.97758738138903,6,1
"88","North Tyneside",27.0368465444551,1.090163711612,21.0597274866409,1.36597513064983,70,1
"89","North Yorkshire",24.2666224749913,0.661318672447856,19.6505162827641,0.828632296577163,133,1
"90","Northamptonshire",25.9241147766429,0.44692099049478,22.5318761384335,0.55999200108996,339,1
"91","Northumberland",26.5053060002784,1.2467784931602,20.5964740450539,1.56221345192973,59,1
"92","Nottingham",24.2630118549086,1.25686648840471,16.9710318558457,1.5748537099711,62,1
"93","Nottinghamshire",26.0156743443327,0.398217059738578,19.9919224555735,0.498965975852438,390,1
"94","Oldham",29.8697106174392,1.63793402881665,21.0326112090644,2.05233133810726,30,1
"95","Oxfordshire",23.3975759164911,0.644349798937394,21.3830305384569,0.807370298068555,76,1
"96","Peterborough",17.2733890842375,1.21617643998691,11.593252108716,1.52386907930359,57,1
"97","Plymouth",19.1948417617472,0.560258039757651,12.6117247238743,0.702003323816337,241,1
"98","Portsmouth",27.6220138302358,1.32836722503323,24.6022275258552,1.66444413296664,57,1
"99","Reading",0,0,0,0,1,1
"100","Redbridge",24.518092767713,0.856179149205752,25.0967413441955,1.07279247395481,70,1
"101","Redcar and Cleveland",27.7078513510384,0.79894622553701,23.1865042174321,1.00107962059787,131,1
"102","Richmond upon Thames",22.6868623244479,1.41076242880932,20.1689247526068,1.76768532329808,12,1
"103","Rochdale",21.7229251058855,0.635641779701963,17.7136038186158,0.79645914996656,173,1
"104","Rotherham",21.6385248680742,1.34807178309069,15.9071793924331,1.68913394421263,42,1
"105","Rutland",29.1358135782803,2.56307016267418,15.0828544158714,3.21152691383075,12,1
"106","Salford",33.9244888439367,2.32213108883672,24.9475231751476,2.9096302543124,30,1
"107","Sandwell",27.8022232642201,0.911690242864643,23.629417382999,1.1423478743094,173,1
"108","Sefton",31.0067673507866,0.706301129881816,29.7177177177177,0.884995315741915,171,1
"109","Sheffield",20.7515149035589,0.548191181556085,15.3983402489627,0.686883550489774,219,1
"110","Shropshire",25.3726414313122,1.04488646349736,22.0106761565836,1.30924273876219,67,1
"111","Slough",23.00075291455,1.20154889628877,17.601581027668,1.50554076704983,49,1
"112","Solihull",30.3668298199465,0.971298969326121,24.6906187624751,1.21703760856563,69,1
"113","Somerset",19.3901392684728,0.773625522735883,12.3576423576424,0.969352779988062,97,1
"114","South Gloucestershire",22.6272727945322,1.59042874804512,16.6861510791367,1.99280722130053,29,1
"115","South Tyneside",21.1261262918673,1.56338916213363,17.7593066248977,1.95892662015343,18,1
"116","Southampton",21.2168368595609,1.04650223140044,12.3330132563558,1.31126729594475,58,1
"117","Southend-on-Sea",26.5307445565889,0.743963289492686,20.1547861507128,0.932186001734335,167,1
"118","Southwark",18.405416254218,0.777912328216018,14.7378872120731,0.97472414725467,107,1
"119","St. Helens",29.2088590946773,1.35192974333898,21.9802566633761,1.69396796840374,63,1
"120","Staffordshire",21.7605252725662,0.761984212426138,16.0303841486079,0.954766218169951,130,1
"121","Stockport",34.2335254642715,2.57907511843923,23.9287371288314,3.23158112340435,38,1
"122","Stockton-on-Tees",28.4292017288798,0.848375265223062,21.3275862068966,1.0630142073245,150,1
"123","Stoke-on-Trent",23.5472431994901,1.02118361604753,19.6505162827641,1.27954307090756,83,1
"124","Suffolk",23.734110450025,0.739779380528899,18.9723926380368,0.92694356380271,140,1
"125","Sunderland",27.7896863390612,1.20056282492099,24.6414342629482,1.504305219626,58,1
"126","Surrey",28.5166685024557,0.54799310637152,21.7017543859649,0.686635362283515,195,1
"127","Sutton",28.8909025180416,1.20424590185501,31.5293118096856,1.50892011502433,27,1
"128","Swindon",25.8513189584409,1.30500989689199,19.9758064516129,1.63517740080566,48,1
"129","Tameside",27.3864736731511,0.923034441422726,21.0195412064571,1.15656215510268,164,1
"130","Telford and Wrekin",23.7848688867371,0.993648348491904,17.7825696316262,1.24504138066036,61,1
"131","Thurrock",31.308792050974,1.13257086578258,24.74,1.41911129482557,83,1
"132","Torbay",22.167433498907,1.07753247986021,21.4144602851324,1.35014819726484,9,1
"133","Tower Hamlets",22.1721673182059,0.617181264509214,17.3573433115061,0.773328124430045,178,1
"134","Trafford",25.4504782322178,0.923310007184322,23.4507637017071,1.15690743900196,38,1
"135","Wakefield",21.0204631318689,1.27973798698862,16.6879168094096,1.60351169769674,48,1
"136","Walsall",18.5702003187778,1.6016852048108,18.5364635364635,2.00691156162793,25,1
"137","Waltham Forest",22.526190536942,0.693528024159843,17.373595505618,0.868990614272283,146,1
"138","Wandsworth",18.4265515115714,1.13438900426098,11.7809523809524,1.421389422339,65,1
"139","Warrington",NA,0,NA,0,0,1
"140","Warwickshire",26.1206020683962,0.413291994593128,21.3644214162349,0.517854869225189,277,1
"141","West Berkshire",19.8665004421955,1.69560805288852,17.4553151458137,2.12459689026932,13,1
"142","West Sussex",21.3397347667223,0.439943429533801,13.8809037194886,0.551249117205853,300,1
"143","Westminster",21.7303308921125,1.55056362173966,15,1.94285621803979,37,1
"144","Wigan",30.9671238543776,0.993976744245323,24.1297863438846,1.24545286053939,106,1
"145","Wiltshire",25.0300285776255,0.754482808756655,19.8270580150269,0.945366959372088,136,1
"146","Windsor and Maidenhead",20.6605891864136,1.95689309478391,20.5834288527727,2.45198704776424,4,1
"147","Wirral",25.533186339829,0.706057560387236,19.6817820206842,0.884690123165207,139,1
"148","Wokingham",50.9633917687556,2.63529206645945,41.9258935481097,3.30202095927369,2,1
"149","Wolverhampton",28.0748179980209,0.713597009059068,24.6022275258552,0.894137052351012,113,1
"150","Worcestershire",22.4339314727368,0.409504452760411,18.1201171875,0.513109079308795,401,1
"151","York",26.4880092299314,2.02578535239855,21.4046305701508,2.53830904655538,18,1
